Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks,Sh_blocked,Pass_blocked,Int,Tkl+Int,Clr,Err,Cmp,Att,Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA_x,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_Pen,games,time,goals,xG,assists,xA_y,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,market_value_in_eur_y
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,114.0,0,0.0,0.0,0.0187398791313171,0.0,1.0,2.0,0.0,0.0,0.0,0.0187398791313171,0.0,18000000
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,78.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963919162750244,0.963919162750244,18000000
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,47,66,71.2,705,190,24,30,80.0,21,30,70.0,1,4,25.0,0,0.0,0.0,0.0,1,2,0,0,6,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,114.0,0,0.0,0.0,0.0187398791313171,0.0,1.0,2.0,0.0,0.0,0.0,0.0187398791313171,0.0,18000000
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,47,66,71.2,705,190,24,30,80.0,21,30,70.0,1,4,25.0,0,0.0,0.0,0.0,1,2,0,0,6,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,78.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963919162750244,0.963919162750244,18000000
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,70.0,0,0.1146742552518844,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1146742552518844,0.4268139153718948,0.3121396601200104,300000
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,+0.8,2,4,4,2,9,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,208.0,0,0.0149639835581183,1.0,0.3789634853601455,1.0,2.0,0.0,0.0,0.0,0.0149639835581183,1.148334621451795,0.7544071078300476,850000
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,270.0,0,0.0328521868214011,0.0,0.0109659628942608,2.0,1.0,1.0,0.0,0.0,0.0328521868214011,0.0929688019677996,0.0601166142150759,50000
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,100.0,21,7,0,0,0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,1174.0,3,7.742781264707446,4.0,2.491778311319649,28.0,15.0,1.0,0.0,2.0,6.220183564350009,9.899299249053,2.1633672695606947,33500000
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0,152,221,68.8,1956,534,94,124,75.8,46,74,62.2,3,6,50.0,4,2.2,1.3,+1.8,14,13,10,0,26,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,1174.0,3,7.742781264707446,4.0,2.491778311319649,28.0,15.0,1.0,0.0,2.0,6.220183564350009,9.899299249053,2.1633672695606947,33500000
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0,1200,1297,92.5,22280,6158,406,434,93.5,697,727,95.9,83,106,78.3,1,0.6,1.4,+0.4,9,59,8,5,62,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1695.0,0,0.3371179103851318,1.0,0.695211872458458,5.0,8.0,0.0,0.0,0.0,0.3371179103851318,7.623959269374609,7.433021267876029,4650000
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,122.0,0,0.4311645030975342,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4311645030975342,0.5013578534126282,0.070193350315094,1500000
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,122.0,0,0.4311645030975342,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4311645030975342,0.5013578534126282,0.070193350315094,1500000
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1.0,0.8,+2.0,18,67,4,1,76,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,1965.0,0,1.4070341289043429,3.0,1.5068945437669754,9.0,18.0,7.0,0.0,0.0,1.4070341289043429,7.6065224930644035,5.169210600666702,15000000
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,9,3,3,3,3,3,11,27.3,8,14,0,14,12,21,20,0,198,312,63.5,2376,316,124,180,68.9,48,70,68.6,2,6,33.3,2,2.4,1.9,-0.4,17,7,8,0,14,29,1.69,22,0,1,3,3,0,3,0.17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1579.0,2,6.322013634257019,2.0,2.053700706921518,37.0,17.0,5.0,1.0,2.0,6.322013634257019,8.28467621654272,0.9772418979555368,4000000
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,0.2,+0.8,1,62,1,0,42,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,1410.0,1,1.1859792517498136,1.0,0.3341391310095787,13.0,2.0,4.0,0.0,1.0,1.1859792517498136,8.569632288068533,8.549678575247526,12000000
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,20,14,6,6,8,8,20,40.0,12,14,1,13,7,27,5,0,298,401,74.3,4376,889,164,202,81.2,99,123,80.5,16,23,69.6,6,6.0,4.1,0.0,28,10,19,2,28,57,3.58,35,1,12,6,2,1,11,0.69,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1462.0,7,5.742135550826788,6.0,7.36732954531908,46.0,29.0,4.0,0.0,7.0,5.742135550826788,15.46747213602066,3.5720093846321106,24000000
