Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks,Sh_blocked,Pass_blocked,Int,Tkl+Int,Clr,Err,Cmp,Att,Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA_x,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP,Starts,Min,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_Pen,games,time,goals,xG,assists,xA_y,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,market_value_in_eur_y
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.0,0.0,0.0,0.0,0.0187398791313171,0.0,1.0,2.0,0.0,0.0,0.0,0.0187398791313171,0.0,18000000
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963919162750244,0.963919162750244,18000000
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,2.3668639053254434,2.3668639053254434,1.1834319526627217,1.1834319526627217,0.0,2.3668639053254434,2.9585798816568043,80.0,0.5917159763313609,0.5917159763313609,0.0,0.5917159763313609,0.0,2.3668639053254434,1.7751479289940826,0.0,27.810650887573964,39.05325443786982,71.2,417.1597633136094,112.42603550295858,14.20118343195266,17.751479289940832,80.0,12.426035502958579,17.751479289940832,70.0,0.5917159763313609,2.3668639053254434,25.0,0.0,0.0,0.0,0.0,0.5917159763313609,1.1834319526627217,0.0,0.0,3.550295857988165,0.5917159763313609,0.5917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.0,0.0,0.0,0.0,0.011088685876518923,0.0,0.5917159763313609,1.1834319526627217,0.0,0.0,0.0,0.011088685876518923,0.0,18000000
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,2.3668639053254434,2.3668639053254434,1.1834319526627217,1.1834319526627217,0.0,2.3668639053254434,2.9585798816568043,80.0,0.5917159763313609,0.5917159763313609,0.0,0.5917159763313609,0.0,2.3668639053254434,1.7751479289940826,0.0,27.810650887573964,39.05325443786982,71.2,417.1597633136094,112.42603550295858,14.20118343195266,17.751479289940832,80.0,12.426035502958579,17.751479289940832,70.0,0.5917159763313609,2.3668639053254434,25.0,0.0,0.0,0.0,0.0,0.5917159763313609,1.1834319526627217,0.0,0.0,3.550295857988165,0.5917159763313609,0.5917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703663684912686,0.5703663684912686,18000000
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,4.0,2.0,4.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,1.0,5.0,3.0,0.0,36.0,46.0,78.3,614.0,206.0,13.0,15.0,86.7,18.0,21.0,85.7,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,0.0,0.1146742552518844,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1146742552518844,0.4268139153718948,0.3121396601200104,300000
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,0.5671077504725898,0.37807183364839325,0.37807183364839325,0.0,0.18903591682419663,0.18903591682419663,0.18903591682419663,100.0,0.0,0.37807183364839325,0.0,0.37807183364839325,0.37807183364839325,0.9451795841209832,0.0,0.0,22.306238185255204,25.70888468809074,86.8,333.8374291115312,69.56521739130436,12.287334593572782,13.043478260869568,94.2,9.262759924385636,10.396975425330814,89.1,0.37807183364839325,1.1342155009451798,33.3,0.18903591682419663,0.03780718336483931,0.03780718336483931,0.1512287334593573,0.37807183364839325,0.7561436672967865,0.7561436672967865,0.37807183364839325,1.7013232514177696,1.1342155009451798,0.9451795841209832,0.0,0.0,0.0,0.18903591682419663,0.0,0.18903591682419663,0.08317580340264649,0.18903591682419663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,208.0,0.0,0.002828730351251087,0.18903591682419663,0.07163770989794808,0.18903591682419663,0.37807183364839325,0.0,0.0,0.0,0.002828730351251087,0.21707648798710683,0.14261003928734362,850000
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,0.7134363852556481,0.47562425683709875,0.356718192627824,0.356718192627824,0.0,0.11890606420927469,0.11890606420927469,100.0,0.0,0.356718192627824,0.0,0.356718192627824,0.0,0.7134363852556481,0.5945303210463734,0.0,4.280618311533888,7.253269916765755,59.0,80.85612366230679,31.747919143876338,1.4268727705112962,2.378121284185494,60.0,1.4268727705112962,2.2592152199762188,63.2,0.9512485136741975,1.545778834720571,61.5,0.0,0.0,0.011890606420927449,0.0,0.11890606420927469,0.8323424494649228,0.23781212841854937,0.0,0.7134363852556481,0.356718192627824,0.356718192627824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,270.0,0.0,0.003906324235600586,0.0,0.0013039194880214828,0.23781212841854937,0.11890606420927469,0.11890606420927469,0.0,0.0,0.003906324235600586,0.011054554336242516,0.007148229989902,50000
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,2100.0,700.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,,,,,,,,0.0,,,,,,,,,,,33.3,,,,,0.0,,,0.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,29.0,1174.0,,,,,,,,,,,,,33500000
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,0.09906182623390244,0.06409882873958395,0.011654332498106167,0.05827166249053086,0.02913583124526543,0.03496299749431851,0.04661732999242468,75.0,0.011654332498106167,0.07575316123769012,0.0,0.07575316123769012,0.011654332498106167,0.11071615873200863,0.09323465998484937,0.0,0.885729269856069,1.2878037410407321,68.8,11.397937183147835,3.111706776994348,0.5477536274109901,0.7225686148825826,75.8,0.26804964745644194,0.43121030242992836,62.2,0.017481498747159253,0.03496299749431851,50.0,0.02330866499621234,0.012819765747916786,0.007575316123769008,0.01048889924829555,0.08158032748674321,0.07575316123769012,0.05827166249053086,0.0,0.15150632247538023,0.1922964862187518,0.16316065497348642,0.0,0.0,0.02330866499621234,0.005827166249053084,0.0,0.052444496241477775,0.0039624730493560915,0.0407901637433716,0.0,0.0,0.005827166249053084,0.005827166249053084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1174.0,0.017481498747159253,0.0451184736595038,0.02330866499621234,0.014520006475844352,0.16316065497348642,0.08740749373579629,0.005827166249053084,0.0,0.011654332498106167,0.036246043729095095,0.057684862473358196,0.012606300737490205,33500000
